Plot,Subplot,Cover,Year,Treat.Code
5,Grass,80,2017,W
5,Grass,30,2016,W
15,Grass,25,2016,W
15,Grass,30,2017,W
17,Grass,80,2016,W
17,Grass,90,2017,W
18,Grass,95,2017,C
18,Grass,40,2016,C
19,Grass,30,2016,W
19,Grass,85,2017,W
23,Grass,70,2017,W
23,Grass,30,2016,W
29,Grass,85,2017,W
29,Grass,50,2016,W
30,Grass,35,2016,C
30,Grass,75,2017,C
37,Grass,30,2016,W
37,Grass,80,2017,W
49,Grass,90,2016,W
49,Grass,100,2017,W
50,Grass,70,2016,C
50,Grass,95,2017,C
55,Grass,40,2017,W
55,Grass,80,2016,W
56,Grass,70,2016,C
56,Grass,80,2017,C
59,Grass,100,2017,W
59,Grass,40,2016,W
81,Grass,80,2016,D
81,Grass,90,2017,D
82,Grass,45,2017,C
82,Grass,10,2016,C
83,Grass,95,2017,D
83,Grass,80,2016,D
84,Grass,50,2017,C
84,Grass,40,2016,C
85,Grass,10,2016,D
85,Grass,80,2017,D
86,Grass,10,2016,C
86,Grass,40,2017,C
87,Grass,5,2016,D
87,Grass,90,2017,D
89,Grass,30,2017,D
89,Grass,10,2016,D
91,Grass,55,2017,D
91,Grass,50,2016,D
92,Grass,100,2017,C
92,Grass,25,2016,C
93,Grass,35,2017,D
93,Grass,25,2016,D
95,Grass,85,2017,D
95,Grass,30,2016,D
96,Grass,30,2016,C
96,Grass,25,2017,C
97,Grass,60,2016,D
97,Grass,100,2017,D
98,Grass,80,2017,C
98,Grass,75,2016,C
99,Grass,90,2016,D
99,Grass,90,2017,D